word_instance,word_type,basic_form,text,task_level,item_id,block,block_name,paragraph_id,paragraph_order,task_order,display,wordcloud,instruction_id,word_case,word_number,gender,paradigm,type,grade
1,article,der,Der Mann beschreibt [den] Wanderern den Weg.,A1,82,1,Die Wanderung,1,1,1,line-simple,no,15,accusative,plural,0,definite,0,0
1,article,der,[Die] Wanderer danken dem Mann.,A1,82,1,Die Wanderung,1,1,2,line-simple,no,15,nominative,plural,0,definite,0,0
1,article,der,[Der] Mann grüßt sie.,A1,82,1,Die Wanderung,1,1,3,line-simple,no,15,nominative,singular,masculine,definite,0,0
1,article,ein,[Eine] Touristin macht ein Foto mit dem Mann.,A1,82,1,Die Wanderung,1,1,4,line-simple,no,15,nominative,singular,feminine,indefinite,0,0
1,article,der,[Der] Rucksack,A1,82,1,Die Wanderung,2,2,1,text,no,15,nominative,singular,masculine,definite,0,0
1,article,der,[der] Touristin ist leicht.,A1,82,1,Die Wanderung,2,2,2,text,no,15,genitive,singular,feminine,definite,0,0
1,noun,Portugiese,Die Heimatstadt des [Portugiesen] ist Porto.,A1,77,2,Länder und Sprachen,1,1,1,line-simple,yes,250,genitive,singular,masculine,0,0,0
1,noun,Grieche,Thessaloniki ist die Heimatstadt des [Griechen].,A1,77,2,Länder und Sprachen,1,1,1,line-simple,yes,250,genitive,singular,masculine,0,0,0
1,noun,Chinese,Die Heimatstadt des [Chinesen] ist Hongkong.,A1,77,2,Länder und Sprachen,1,1,1,line-simple,yes,250,genitive,singular,masculine,0,0,0
1,noun,Bulgare,Der [Bulgare] spricht Bulgarisch.,A1,77,2,Länder und Sprachen,1,1,1,line-simple,yes,250,nominative,singular,masculine,0,0,0
1,noun,Chinese,Eine Russin erklärt einem [Chinesen] das Problem.,A1,77,2,Länder und Sprachen,1,1,1,line-simple,yes,250,dative,singular,masculine,0,0,0
1,noun,Franzose,Der [Franzose] spricht Französisch.,A1,77,2,Länder und Sprachen,1,1,1,line-simple,yes,250,nominative,singular,masculine,0,0,0
1,noun,Finne,Der Russe trifft die [Finnen].,A1,77,2,Länder und Sprachen,1,1,1,line-simple,yes,250,accusative,plural,0,0,0,0
0,0,0,Die Projektleiterin startet ein Projekt.,A1,100,3,Die Firma,1,1,1,line-simple,no,265,0,0,0,0,0,0
1,pronoun,sie,[Sie] startet ein Projekt.,A1,100,3,Die Firma,2,2,1,line-simple,no,265,nominative,singular,feminine,0,personal,0
1,pronoun,sie,[Sie] startet,A1,100,3,Die Firma,3,3,1,text,no,265,nominative,singular,feminine,0,personal,0
1,pronoun,es,[es].,A1,100,3,Die Firma,3,4,2,text,no,265,accusative,singular,neuter,0,personal,0
0,0,0,Der Projektmanager präsentiert den Vorgesetzten den Projektplan.,A1,100,4,Die Firma,1,1,1,line-simple,no,265,0,0,0,0,0,0
1,pronoun,er,[Er] präsentiert den Vorgesetzten den Projektplan.,A1,100,4,Die Firma,2,2,1,line-simple,no,265,nominative,singular,masculine,0,personal,0
1,pronoun,er,[Er] präsentiert,A1,100,4,Die Firma,3,3,1,text,no,265,nominative,singular,masculine,0,personal,0
1,pronoun,sie,[ihnen] den Projektplan.,A1,100,4,Die Firma,3,3,2,text,no,265,dative,plural,0,0,personal,0
1,pronoun,er,[Er] präsentiert,A1,100,4,Die Firma,4,4,1,text,no,265,nominative,singular,masculine,0,personal,0
1,pronoun,er,[ihn],A1,100,4,Die Firma,4,4,2,text,no,265,accusative,singular,masculine,0,personal,0
1,pronoun,sie,[ihnen].,A1,100,4,Die Firma,4,4,3,text,no,265,dative,plural,0,0,personal,0
1,adjective,nett,Der [nette] Mann grüßt,A2,230,5,Männer und Frauen,1,1,1,text,yes,300,nominative,singular,masculine,0,definite,positive
1,adjective,jung,eine [jungere] Dame.,A2,230,5,Männer und Frauen,1,1,2,text,yes,300,accusative,singular,feminine,0,indefinite,comparative
1,adjective,jung,Die [junge] Dame hat,A2,230,5,Männer und Frauen,2,2,1,text,yes,300,nominative,singular,feminine,0,definite,positive
1,adjective,klein,mehrere [kleinere] Kinder.,A2,230,5,Männer und Frauen,2,2,2,text,yes,300,accusative,plural,0,0,no_article,comparative
1,adjective,schnell,Das [schnelle] Auto kommt gerade vorbei.,A2,230,6,Das Auto,1,1,1,line-simple,yes,300,nominative,singular,neuter,0,definite,positive
2,adverb,schnell,Das Auto fährt [schnell].,A2,113,7,Das Auto,1,1,1,line-simple,yes,400,0,0,0,0,modal,0
1,adverb,heute,Der Termin findet [heute] statt.,A2,113,8,Im Büro,1,1,1,line-simple,yes,400,0,0,0,0,temporal,0
1,adverb,hier,Das Ziel befindet sich [hier].,A1,113,9,Auf der Autobahn,1,1,1,line-simple,yes,400,0,0,0,0,local,0
1,numeral,drei,"Die Ampel hat [drei] Farben: rot, gelb und grün.",A1,121,10,Im Straßenverkehr,1,1,1,line-simple,yes,255,0,0,0,0,cardinal,0
1,numeral,dritt,Ich verpasse auch den [dritten] Zug.,B1,122,11,Eine unglückliche Reise,1,1,1,line-simple,yes,255,accusative,singular,masculine,definite,ordinal,0
1,connector,weil,"Der Mann bleibt zu Hause, [weil] er krank ist.",B1,161,12,Gesundheit,1,1,1,line-simple,yes,134,0,0,0,0,causal,0
1,connector,wenn,"Ich besuche dich, [wenn] ich Zeit habe.",B1,160,13,In der Freizeit,1,1,1,line-simple,yes,134,0,0,0,0,conditional,subordinating
1,connector,und,Wir machen zuerst die Hausaufgaben [und] dann gehen wir spielen.,A1,157,14,In der Schule,1,1,1,line-simple,yes,134,0,0,0,0,0,coordinating
